codes,requirement,syllabus,title,year
OF:S-5 T:002 P:002 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,,"Organizações de dados, organizações de computadores, estruturas de programas, fundamentos de bancos de dados, noções de redes, internet, interface ser humano-computadores, impacto social da computação.",MC001 - Tecnologias da Informação,2018
OF:S-2 T:001 P:000 L:000 O:001 D:000 HS:002 SL:001 C:002 AV:F EX:N FM:75%,,"Problemas éticos originados pelo uso da Tecnologia de Informação. Oportunidades multidisciplinares do uso da computação - pesquisa, desenvolvimento e empregabilidade. Tendências de mercado e globalização - projetos cooperativos, questões de gênero, trabalho à distância. Computação e a Unicamp - necessidades e oportunidades. Aspectos da política de informática no Brasil e no mundo.",MC009 - Computação e Sociedade,2018
OF:S-5 T:000 P:002 L:000 O:010 D:000 HS:012 SL:000 C:012 AV:C EX:N FM:75%,AA200,Trabalho prático que seja válido de acordo com normas internas definidas pelo Instituto de Computação.,MC019 - Estágio Supervisionado em Ciência da Computação,2018
OF:S-5 T:000 P:002 L:000 O:010 D:000 HS:012 SL:000 C:012 AV:C EX:N FM:75%,AA200  AA470  MC019,"Projeto teórico ou prático orientado por um ou mais docentes do Instituto de Computação, acompanhado por monografia redigida pelo aluno.",MC020 - Estágio Supervisionado em Ciência da Computação II,2018
OF:S-5 T:000 P:002 L:000 O:010 D:000 HS:012 SL:000 C:012 AV:N EX:N FM:75%,AA200  AA480,Projeto teórico ou prático orientado por um ou mais docentes do Instituto de Computação.,MC030 - Projeto Final de Graduação,2018
OF:S-6 T:000 P:000 L:000 O:006 D:000 HS:006 SL:000 C:006 AV:N EX:N FM:75%,AA200,Projeto teórico ou prático orientado por um ou mais docentes do Instituto de Computação.,MC032 - Estudo Dirigido,2018
OF:S-6 T:000 P:000 L:000 O:006 D:000 HS:006 SL:000 C:006 AV:N EX:N FM:75%,AA200,"O texto científico, suas características e especificidades. Técnicas para a sua redação e estruturação. Modalidades de textos científicos. Aspectos éticos na escrita. Autoria e direito autoral.",MC033 - Estudo Dirigido II,2018
OF:S-6 T:000 P:002 L:000 O:000 D:000 HS:002 SL:002 C:002 AV:N EX:N FM:75%,,Seminários e palestras sobre tópicos de Computação e Tecnologia.,MC038 - Introdução à Redação Científica,2018
OF:S-6 T:001 P:000 L:000 O:001 D:000 HS:002 SL:001 C:002 AV:N EX:N FM:75%,AA200,"Projeto de Iniciação Científica na área de Computação, supervisionado ou orientado por um docente do Instituto de Computação.",MC039 - Seminários sobre Computação e Tecnologia,2018
OF:S-6 T:000 P:001 L:000 O:011 D:000 HS:012 SL:000 C:012 AV:N EX:N FM:75%,AA200,"Projeto de Iniciação Científica na área de Computação, supervisionado ou orientado por um docente do Instituto de Computação.",MC040 - Estágio de Iniciação Científica I,2018
OF:S-6 T:000 P:001 L:000 O:011 D:000 HS:012 SL:000 C:012 AV:N EX:N FM:75%,AA200,"Apoio à docência abrangendo atividades como auxílio ao professor em aulas práticas, correção de listas de exercícios e plantão de dúvidas.",MC041 - Estágio de Iniciação Científica II,2018
OF:S-6 T:000 P:002 L:000 O:006 D:000 HS:008 SL:000 C:008 AV:C EX:N FM:75%,AA200,"Apoio à docência abrangendo atividades como auxílio ao professor em aulas práticas, correção de listas de exercícios e plantão de dúvidas.",MC050 - Monitoria,2018
OF:S-6 T:000 P:002 L:000 O:006 D:000 HS:008 SL:000 C:008 AV:C EX:N FM:75%,AA200,"Conceitos básicos de organização de computadores. Construção de algoritmos e sua representação em pseudocódigo e linguagens de alto nível. Desenvolvimento sistemático e implementação de programas. Estruturação, depuração, testes e documentação de programas. Resolução de problemas.",MC051 - Monitoria II,2018
OF:S-5 T:004 P:000 L:002 O:000 D:000 HS:006 SL:006 C:006 AV:N EX:S FM:75%,,"Estruturas básicas para representação de informações: listas, árvores, grafos e suas generalizações. Algoritmos para construção, consulta e manipulação de tais estruturas. Desenvolvimento, implementação e testes de programas usando tais estruturas em aplicações específicas.",MC102 - Algoritmos e Programação de Computadores,2018
OF:S-5 T:004 P:000 L:002 O:000 D:000 HS:006 SL:006 C:006 AV:N EX:S FM:75%,MC102,Conceitos básicos e avançados de programação orientada a objetos. Aplicação dos conceitos usando uma linguagem orientada a objetos.,MC202 - Estruturas de Dados,2018
OF:S-5 T:004 P:000 L:002 O:000 D:000 HS:006 SL:006 C:006 AV:N EX:S FM:75%,MC202,Conceitos básicos e avançados de programação orientada a objetos. Aplicação dos conceitos usando uma linguagem orientada a objetos.,MC302 - Programação Orientada a Objetos,2018
OF:S-5 T:002 P:000 L:002 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC202,"Visão comparativa de paradigmas de programação: programação funcional, programação lógica e programação rápida (prototipação).",MC322 - Programação Orientada a Objetos,2018
OF:S-5 T:003 P:001 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC322,"Conceitos básicos de matemática discreta e de lógica para computação. Técnicas de provas, indução matemática. Relações e conceitos de teoria de grafos. Modelagem de problemas usando grafos.",MC346 - Paradigmas de Programação,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,,"Introdução à organização de computadores e representação de informação na memória. Estudo do conjunto de instruções de processadores relevantes. Desenvolvimento, implementação e testes de programas usando linguagens de montagem. Espaço de endereçamento físico e mapeamento de endereços para memória e periféricos. Programação de dispositivos de entrada e saída. Tratamento de interrupções.",MC358 - Fundamentos Matemáticos da Computação,2018
OF:S-5 T:002 P:000 L:002 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC602/ MC202,Paradigmas da Engenharia de Software. Processos de Software. Modelos de Processo de Software. Extração e Especificação de Requisitos. Análise e Projeto de Sistemas de Software. Padrões de Arquitetura e Padrões de Projeto.,MC404 - Organização Básica de Computadores e Linguagem de Montagem,2018
OF:S-5 T:002 P:002 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC322,"Análise e projeto de Sistemas de Informação usando técnicas de Bancos de Dados, Interface Humano-Computador e Engenharia de Software.",MC426 - Engenharia de Software,2018
OF:S-5 T:000 P:002 L:002 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC426  MC536/ MC426  MC750,"Técnicas de projeto e análise de algoritmos. Ferramental Matemático para Análise de Algoritmos. Projeto de algoritmos por indução. Busca, ordenação e estatísticas de ordem. Programação Dinâmica. Algoritmos Gulosos.",MC437 - Projeto de Sistemas de Informação,2018
OF:S-5 T:003 P:001 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC202  MC358/ MC202  MS328,"Conceito de processos: concorrências, regiões críticas, escalonamento. Conceitos de espaços de endereçamento e de gerenciamento de memória virtual, paginação, segmentação. Sistemas de arquivos: hierarquia, proteção, organização, segurança. Gerenciamento de Entrada/Saída. Estudos de caso.",MC458 - Projeto e Análise de Algoritmos I,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC404/ EA869,Estruturas de dados. Busca por padrões. Ordenação. Combinatória. Teoria dos Números. Backtracking. Algoritmos em grafos. Programação dinâmica. Reticulados. Geometria computacional.,MC504 - Sistemas Operacionais,2018
OF:S-6 T:000 P:004 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC202/ AA200,"Arquiteturas de sistemas de gerenciamento de bancos de dados. Modelagem de dados: modelos conceituais e lógicos, incluindo o modelo relacional e normalização. Álgebra relacional. Linguagens de definição e de manipulação de dados. Otimização de consultas. Mecanismos de proteção, recuperação e segurança. Controle de concorrência. Bancos de dados não relacionais. Projeto e desenvolvimento de ferramentas e técnicas utilizadas na solução de problemas de sistemas de informação, utilizando bancos de dados. Modelagem, especificação, projeto e implementação de aplicações em sistemas de informação.",MC521 - Desafios de Programação I,2018
OF:S-5 T:003 P:003 L:000 O:000 D:000 HS:006 SL:006 C:006 AV:N EX:S FM:75%,MC322,"Projeto e desenvolvimento de ferramentas e técnicas utilizadas na solução de problemas de sistemas de informação, utilizando bancos de dados. Modelagem, especificação, projeto e implementação de aplicações em sistemas de informação.",MC536 - Bancos de Dados: Teoria e Prática,2018
OF:S-6 T:001 P:003 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC536,Grafos: conceitos e algoritmos. Reduções entre problemas. Programação Linear. Classes de Problemas.,MC537 - Projeto de Bancos de Dados,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MA327  MC458,"Introdução aos conceitos básicos de projeto lógico. Portas lógicas. Minimização de funções lógicas. Mapas de Karnaugh. Circuitos combinacionais típicos. Tecnologia de implementação. Elementos de memória: Latch, Flip-Flops, contadores. Síntese de circuitos sequenciais síncronos e máquinas de estado. Organização e hierarquia de memórias. Processador básico.  Introdução à descrição, síntese e simulação de circuitos digitais com VHDL.",MC558 - Projeto e Análise de Algoritmos II,2018
OF:S-2 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,,Metodologia de projeto digital. Técnicas de projeto usando lógica programável. Características elétricas de circuitos digitais. Projeto e implementação de lógica combinacional: decodificadores e seletores. Flip-flops. Contadores. Circuitos aritméticos. Memórias. Projeto e implementação de lógica seqüencial. Máquinas de estados. Via de dados. Introdução a VHDL.,MC602 - Circuitos Lógicos e Organização de Computadores,2018
OF:S-1 T:000 P:000 L:004 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC602/ EA772,Estruturas de dados. Busca por padrões. Ordenação. Combinatória. Teoria dos Números. Backtracking. Algoritmos em grafos. Programação dinâmica. Reticulados. Geometria computacional.,MC613 - Laboratório de Circuitos Digitais,2018
OF:S-6 T:000 P:004 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,AA200/ MC202,Verificação e Validação (V&V) de software. Técnicas de Verificação Estática. Testes de Software: Técnicas e Ferramentas. Testes ágeis.,MC621 - Desafios de Programação II,2018
OF:S-5 T:002 P:000 L:002 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC426,"Linguagem e seus diferentes paradigmas de programação. Implementação. Estrutura de dados, de nomes, de controle e de tipos. Sintaxe e Semântica.","MC646 - Verificação, Validação e Testes de Software",2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC322,"Tratamento de Problemas NP-difíceis: algoritmos exatos, algoritmos aproximados e algoritmos heurísticos.",MC650 - Análise e Projeto de Linguagens de Programação,2018
OF:S-5 T:003 P:001 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC558,Algoritmos para comparação de sequências biológicas. Técnicas e algoritmos para análise de sequências biológicas. Bioinformática para projetos genoma. Problemas diversos em biologia computacional.,MC658 - Projeto e Análise de Algoritmos III,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC458,Sistemas Distribuídos. Comunicação entre processos. Sistemas de arquivos distribuídos. Nomes. Tempo e Coordenação. Replicação. Segurança.,MC668 - Bioinformática,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,EA876/ MC504,"Projeto e implementação de um sistema distribuído envolvendo conceitos como: comunicação entre processos, mensagens, comunicação em grupos e comunicação cliente-servidor.",MC714 - Sistemas Distribuídos,2018
OF:S-1 T:001 P:000 L:002 O:000 D:000 HS:003 SL:003 C:003 AV:N EX:N FM:75%,MC714,Estruturas de dados. Busca por padrões. Ordenação. Combinatória. Teoria dos Números. Backtracking. Algoritmos em grafos. Programação dinâmica. Reticulados. Geometria computacional.,MC715 - Laboratório de Sistemas Distribuídos,2018
OF:S-6 T:000 P:004 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC521/ MC621,Uma visão gerencial da Engenharia de Software. Métricas de Software. Planejamento de sistemas. Ambientes automatizados de desenvolvimento de Software e ferramentas CASE.,MC721 - Desafios de Programação III,2018
OF:S-1 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC426,Uma introdução à arquitetura e organização de computadores. Tecnologias e perspectiva histórica. Medidas de desempenho. Conjunto de instruções. Memória. Unidades de aritmética e lógica. Projeto básico de um processador. Pipeline. Hierarquia da memória: cache e memória virtual. Dispositivos de Entrada/Saída.,MC726 - Análise e Projeto de Sistemas de Informação II,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC404  MC602/ EA772  MC404/ ES572  MC404,"Metodologia de projeto de sistemas. Técnicas de projeto usando linguagens de descrição de sistemas e hardware. Padrões de interconexão de hardware. Barramentos, processadores. Linguagens de descrição de arquiteturas. Criação de modelos executáveis de sistemas.",MC732 - Projeto de Sistemas Computacionais,2018
OF:S-5 T:000 P:000 L:002 O:000 D:000 HS:002 SL:002 C:002 AV:N EX:N FM:75%,MC732,Conceitos básicos de probabilidade. Técnicas em teoria de jogos. Desvios e momentos. Desigualdades de cauda. Método probabilístico. Cadeias de markov e passeios aleatórios. Algoritmos de aproximação probabilísticos. Técnicas algébricas. Aplicações.,MC733 - Laboratório de Projetos de Sistemas Computacionais,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC458,Uso combinado de ferramentas de desevolvimento validação e verificação (VeV) para a construção de um sistema de informação.,MC738 - Algoritmos Probabilísticos,2018
OF:S-5 T:000 P:002 L:002 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC646,Medidas de performance. Algoritmos Combinatórios. Métodos usando Programação Linear. Método Primal-Dual. Métodos Probabilísticos. Programação Semidefinida. Complexidade de aproximação.,MC747 - Projeto de Engenharia de Software,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC458,"Introdução a Interfaces Humano-Computador (IHC). Aspectos humanos. Aspectos tecnológicos. Processos, métodos e técnicas de pesquisa, design e avaliação. Ferramentas de suporte. Concepção, modelagem e prototipação de soluções em interfaces de usuário.",MC748 - Algoritmos de Aproximação,2018
OF:S-5 T:002 P:002 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC322,Jogos e conceitos básicos de soluções. Teoria dos Jogos e Complexidade Computacional. Ineﬁciência de equilíbrios. Mecanismos e Leilões. Compartilhamento de Custos.,MC750 - Construção de Interfaces Homem-Computador,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC558,"Programação Linear: formulando problemas, algoritmo Primal-Simplex, Dualidade em PL, algoritmo-Dual Simplex e a complexidade de resolução de um programa linear. Programação Linear Inteira: formulações e complexidade. Otimalidade: relaxações e limitantes. Relaxação Lagrangeana: método do subgradiente e heurísticas lagrangeanas. Problemas de PLI bem resolvidos e Unimodularidade Total. Algoritmos de Branch-and-Bound para PLI. O método de geração de colunas. Algoritmos de Planos-de-Corte para PLI. Desigualdades Válidas Fortes e técnicas de lifting, Combinatória Poliédrica, O problema da separação.",MC758 - Teoria dos Jogos Algorítmica,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC458,Estruturas de dados. Busca por padrões. Ordenação. Combinatória. Teoria dos Números. Backtracking. Algoritmos em grafos. Programação dinâmica. Reticulados. Geometria computacional.,MC798 - Programação Linear Inteira,2018
OF:S-6 T:000 P:004 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC521/ MC621,"Redes de Computadores e a Internet. Terminologia e aplicações, topologias, modelos de arquitetura e protocolos. Camadas de Aplicação, Transporte, Rede, Enlace e Física. Redes sem Fio.",MC821 - Desafios de Programação IV,2018
OF:S-5 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC504,"Conceitos administrativos, funcionamento do sistema Unix, memória virtual e sistemas de disco, breve revisão de administração de máquina Unix isolada, redes em TCP/IP, NIS, DNS, NFS, automounter, sendmail, configuração de sistemas.",MC832 - Redes de Computadores,2018
